pid,Name,Image List,Image,Image Shiny,Type,Sleep Type,Specialty,Berry,Berry Quantity,Skill,Skill Description,Base Frequency,Carry Limit,Friendship Points Needed,Recruit Experience,Recruit Shards,Ingredients_1,Ingredients_2,Ingredients_3,Location_1,Location_2,Location_3,Location_4
#0001,妙蛙種子,https://www.serebii.net/pokemonsleep/pokemon/icon/001.png,https://www.serebii.net/pokemonsleep/pokemon/1.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/1.png,草,淺淺入夢,食材,金枕果,1,食材獲取S,隨機獲得6個食材。,01:13:20,11,5,18,39,甜甜蜜,窩心洋芋,好眠番茄,True,False,False,False
#0002,妙蛙草,https://www.serebii.net/pokemonsleep/pokemon/icon/002.png,https://www.serebii.net/pokemonsleep/pokemon/2.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/2.png,草,淺淺入夢,食材,金枕果,1,食材獲取S,隨機獲得6個食材。,00:55:00,14,12,116,245,甜甜蜜,窩心洋芋,好眠番茄,True,False,False,False
#0003,妙蛙花,https://www.serebii.net/pokemonsleep/pokemon/icon/003.png,https://www.serebii.net/pokemonsleep/pokemon/3.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/3.png,草,淺淺入夢,食材,金枕果,1,食材獲取S,隨機獲得6個食材。,00:46:40,17,20,574,1033,甜甜蜜,窩心洋芋,好眠番茄,True,False,False,False
#0004,小火龍,https://www.serebii.net/pokemonsleep/pokemon/icon/004.png,https://www.serebii.net/pokemonsleep/pokemon/4.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/4.png,火,安然入睡,食材,蘋野果,1,食材獲取S,隨機獲得6個食材。,00:58:20,12,5,16,42,豆製肉,暖暖薑,火辣香草,True,False,False,False
#0005,火恐龍,https://www.serebii.net/pokemonsleep/pokemon/icon/005.png,https://www.serebii.net/pokemonsleep/pokemon/5.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/5.png,火,安然入睡,食材,蘋野果,1,食材獲取S,隨機獲得6個食材。,00:50:00,15,12,116,245,豆製肉,暖暖薑,火辣香草,True,False,False,False
#0006,噴火龍,https://www.serebii.net/pokemonsleep/pokemon/icon/006.png,https://www.serebii.net/pokemonsleep/pokemon/6.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/6.png,火,安然入睡,食材,蘋野果,1,食材獲取S,隨機獲得6個食材。,00:40:00,19,20,528,1116,豆製肉,暖暖薑,火辣香草,True,False,False,False
#0007,傑尼龜,https://www.serebii.net/pokemonsleep/pokemon/icon/007.png,https://www.serebii.net/pokemonsleep/pokemon/7.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/7.png,水,深深入眠,食材,橙橙果,1,食材獲取S,隨機獲得6個食材。,01:15:00,10,5,18,39,哞哞鮮奶,放鬆可可,豆製肉,True,True,True,False
#0008,卡咪龜,https://www.serebii.net/pokemonsleep/pokemon/icon/008.png,https://www.serebii.net/pokemonsleep/pokemon/8.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/8.png,水,深深入眠,食材,橙橙果,1,食材獲取S,隨機獲得6個食材。,00:56:40,14,12,116,245,哞哞鮮奶,放鬆可可,豆製肉,True,True,True,False
#0009,水箭龜,https://www.serebii.net/pokemonsleep/pokemon/icon/009.png,https://www.serebii.net/pokemonsleep/pokemon/9.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/9.png,水,深深入眠,食材,橙橙果,1,食材獲取S,隨機獲得6個食材。,00:46:40,17,20,528,1116,哞哞鮮奶,放鬆可可,豆製肉,True,True,True,False
#0010,綠毛蟲,https://www.serebii.net/pokemonsleep/pokemon/icon/010.png,https://www.serebii.net/pokemonsleep/pokemon/10.png,https://www.serebii.net/pokemonsleep/pokemon/shiny/10.png,蟲,淺淺入夢,樹果,木子果,2,食材獲取S,隨機獲得6個食材。,01:13:20,11,5,11,12,甜甜蜜,好眠番茄,萌綠大豆,True,True,True,False
